"","loglik","AICc","AICw"
"CID4",-754.564735885201,1525.81846698571,0.994
"HiSSE",-757.512864102951,1536.08853013827,0.006
"CID2",-767.655490281512,1547.70908482843,0
"BiSSE_like",-781.178185450872,1572.63938976967,0
"Null",-803.095044418298,1614.37788226383,0
