Taxa	Variant_Category	Variant_Pattern	Radlkofer_section	Last_classification	This_study
Serjania_acutidentata	Procambial	Compound	Oococcus	Serjania	Serjania I
Serjania_adenophylla	Procambial	Compound	Unplaced	Unplaced	Serjania III
Serjania_altissima	Cambial	Phloem-wedges	Eurycoccus	Eurycoccus	Serjania III
Serjania_ampelopsis	Typical	Typical	Platycoccus	Platycoccus	Serjania VI
Serjania_atrolineata_a	Procambial	Compound	Dictyococcus	Serjania	Serjania III
Serjania_bahiana	Typical	Typical	Unplaced	Unplaced	Serjania I
Serjania_biternata	Typical	Typical	Unplaced	Unplaced	Serjania I
Serjania_brachycarpa	Typical	Typical	Phacococcus	Serjania	Serjania III
Serjania_calligera	Typical	Typical	Ceratococcus	Ceratococcus	Serjania IV
Serjania_caracasana	Procambial+Ectopic-cambia	Compound+Ectopic-cambia	Eucoccus	Serjania	Serjania I
Serjania_cardiospermoides	Procambial	Compound	Platycoccus	Platycoccus	Serjania VI
Serjania_clematidifolia	Procambial	Compound	Simococcus	Serjania	Serjania II
Serjania_columbiana	Procambial	Compound	Syncoccus	Serjania	Serjania III
Serjania_communis_a	Procambial	Compound	Platycoccus	Platycoccus	Serjania VI
Serjania_confertiflora_a	Procambial	Compound	Platycoccus	Confertiflora	Serjania II
Serjania_coradinii	Typical	Typical	Unplaced	Unplaced	Serjania V
Serjania_cornigera_a	Cambial	Phloem-wedges	Ceratococcus	Ceratococcus	Serjania III
Serjania_corrugata_a	Procambial+Ectopic-cambia	Divided+Ectopic-cambia	Eurycoccus	Eurycoccus	Serjania V
Serjania_crassifolia	Procambial	Compound	Simococcus	Serjania	Serjania II
Serjania_diffusa	Procambial	Compound	Syncoccus	Serjania	Serjania IV
Serjania_dumicola	Procambial	Compound	Platycoccus	Platycoccus	Serjania VI
Serjania_dura	Cambial	Typical	Eurycoccus	Eurycoccus	Serjania V
Serjania_emarginata	Typical	Typical	Physococcus	Physococcus	Serjania III
Serjania_eriocarpa_a	Typical	Typical	Syncoccus	Serjania	Serjania VII
Serjania_erythrocaulis	Procambial	Divided	Unplaced	Unplaced	Serjania V
Serjania_faveolata	Ectopic-cambia	Ectopic-cambia	Eucoccus	Serjania	Serjania V
Serjania_ferruginea	Procambial	Compound	Platycoccus	Platycoccus	Serjania VI
